"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_BP_DIRECT","skin development","8","853","60","13832","7.45e-2","1.00e+0","2.16","1.00e+0","9.85e-1","3.02e-2","ENSMUSG00000021359,ENSMUSG00000035183,ENSMUSG00000034926,ENSMUSG00000026043,ENSMUSG00000025927,ENSMUSG00000002633,ENSMUSG00000024985,ENSMUSG00000055799"
"GOTERM_BP_DIRECT","response to mechanical stimulus","8","853","60","13832","7.45e-2","1.00e+0","2.16","1.00e+0","9.85e-1","3.02e-2","ENSMUSG00000040152,ENSMUSG00000031740,ENSMUSG00000000409,ENSMUSG00000009350,ENSMUSG00000039942,ENSMUSG00000001494,ENSMUSG00000027071,ENSMUSG00000022123"
"GOTERM_BP_DIRECT","positive regulation of ERK1 and ERK2 cascade","16","853","163","13832","7.77e-2","1.00e+0","1.59","1.00e+0","9.85e-1","4.41e-2","ENSMUSG00000005087,ENSMUSG00000032041,ENSMUSG00000046949,ENSMUSG00000020053,ENSMUSG00000026674,ENSMUSG00000079042,ENSMUSG00000020122,ENSMUSG00000006235,ENSMUSG00000020689,ENSMUSG00000025219,ENSMUSG00000002603,ENSMUSG00000021835,ENSMUSG00000051212,ENSMUSG00000054204,ENSMUSG00000032006,ENSMUSG00000019997"
"GOTERM_BP_DIRECT","membrane depolarization","5","853","27","13832","8.13e-2","1.00e+0","3.00","1.00e+0","9.85e-1","2.29e-2","ENSMUSG00000027577,ENSMUSG00000020838,ENSMUSG00000035200,ENSMUSG00000032303,ENSMUSG00000032511"
"GOTERM_BP_DIRECT","positive regulation of vascular associated smooth muscle cell migration","5","853","27","13832","8.13e-2","1.00e+0","3.00","1.00e+0","9.85e-1","2.29e-2","ENSMUSG00000054342,ENSMUSG00000026185,ENSMUSG00000026674,ENSMUSG00000020542,ENSMUSG00000044447"
"GOTERM_BP_DIRECT","hair cycle process","3","853","8","13832","8.28e-2","1.00e+0","6.08","1.00e+0","9.85e-1","1.04e-2","ENSMUSG00000069581,ENSMUSG00000061048,ENSMUSG00000030029"
"GOTERM_BP_DIRECT","telencephalon regionalization","3","853","8","13832","8.28e-2","1.00e+0","6.08","1.00e+0","9.85e-1","1.04e-2","ENSMUSG00000021835,ENSMUSG00000021848,ENSMUSG00000002633"
"GOTERM_BP_DIRECT","positive regulation of melanin biosynthetic process","3","853","8","13832","8.28e-2","1.00e+0","6.08","1.00e+0","9.85e-1","1.04e-2","ENSMUSG00000030559,ENSMUSG00000061048,ENSMUSG00000026525"
"GOTERM_BP_DIRECT","icosanoid metabolic process","3","853","8","13832","8.28e-2","1.00e+0","6.08","1.00e+0","9.85e-1","1.04e-2","ENSMUSG00000017969,ENSMUSG00000025701,ENSMUSG00000000320"
"GOTERM_BP_DIRECT","positive regulation of extracellular matrix assembly","3","853","8","13832","8.28e-2","1.00e+0","6.08","1.00e+0","9.85e-1","1.04e-2","ENSMUSG00000002603,ENSMUSG00000029163,ENSMUSG00000032402"
"GOTERM_BP_DIRECT","cell activation","3","853","8","13832","8.28e-2","1.00e+0","6.08","1.00e+0","9.85e-1","1.04e-2","ENSMUSG00000002603,ENSMUSG00000034330,ENSMUSG00000020053"
"GOTERM_BP_DIRECT","positive regulation of alpha-beta T cell differentiation","3","853","8","13832","8.28e-2","1.00e+0","6.08","1.00e+0","9.85e-1","1.04e-2","ENSMUSG00000021318,ENSMUSG00000002633,ENSMUSG00000021871"
"GOTERM_BP_DIRECT","hexose metabolic process","3","853","8","13832","8.28e-2","1.00e+0","6.08","1.00e+0","9.85e-1","1.04e-2","ENSMUSG00000030695,ENSMUSG00000000628,ENSMUSG00000035473"
"GOTERM_BP_DIRECT","branching involved in labyrinthine layer morphogenesis","3","853","8","13832","8.28e-2","1.00e+0","6.08","1.00e+0","9.85e-1","1.04e-2","ENSMUSG00000045005,ENSMUSG00000019880,ENSMUSG00000020782"
"GOTERM_BP_DIRECT","negative regulation of low-density lipoprotein particle clearance","3","853","8","13832","8.28e-2","1.00e+0","6.08","1.00e+0","9.85e-1","1.04e-2","ENSMUSG00000020689,ENSMUSG00000044254,ENSMUSG00000032193"
"GOTERM_BP_DIRECT","positive regulation of neutrophil extravasation","3","853","8","13832","8.28e-2","1.00e+0","6.08","1.00e+0","9.85e-1","1.04e-2","ENSMUSG00000039942,ENSMUSG00000035873,ENSMUSG00000027239"
"GOTERM_BP_DIRECT","positive regulation of non-canonical Wnt signaling pathway","3","853","8","13832","8.28e-2","1.00e+0","6.08","1.00e+0","9.85e-1","1.04e-2","ENSMUSG00000019880,ENSMUSG00000028871,ENSMUSG00000030170"
"GOTERM_BP_DIRECT","chromosome organization involved in meiotic cell cycle","3","853","8","13832","8.28e-2","1.00e+0","6.08","1.00e+0","9.85e-1","1.04e-2","ENSMUSG00000028212,ENSMUSG00000027323,ENSMUSG00000002068"
"GOTERM_BP_DIRECT","ammonium transmembrane transport","3","853","8","13832","8.28e-2","1.00e+0","6.08","1.00e+0","9.85e-1","1.04e-2","ENSMUSG00000023926,ENSMUSG00000028825,ENSMUSG00000030762"
"GOTERM_BP_DIRECT","bone trabecula formation","3","853","8","13832","8.28e-2","1.00e+0","6.08","1.00e+0","9.85e-1","1.04e-2","ENSMUSG00000031740,ENSMUSG00000021469,ENSMUSG00000024598"
