"ID"	"Description"	"setSize"	"enrichmentScore"	"NES"	"pvalue"	"p.adjust"	"qvalue"	"rank"	"leading_edge"
"GO:0051962"	"GO:0051962"	"positive regulation of nervous system development"	351	0.444989990657524	1.97212677382381	1.39943321908844e-11	7.72608790744972e-10	4.98898201896355e-10	2097	"tags=30%, list=13%, signal=27%"
"GO:0048568"	"GO:0048568"	"embryonic organ development"	431	-0.348977272846815	-1.86190164306736	1.4409801173665e-11	7.85266828445241e-10	5.07071901605507e-10	3285	"tags=35%, list=20%, signal=29%"
"GO:1901989"	"GO:1901989"	"positive regulation of cell cycle phase transition"	111	-0.545727212406722	-2.44361484929649	1.63888641102151e-11	8.84846913209853e-10	5.7137394661052e-10	3227	"tags=53%, list=20%, signal=43%"
"GO:0034762"	"GO:0034762"	"regulation of transmembrane transport"	353	0.442786435845999	1.9639178655027	1.66928227406153e-11	8.92989444041542e-10	5.76631839142261e-10	2684	"tags=36%, list=17%, signal=30%"
"GO:0001501"	"GO:0001501"	"skeletal system development"	456	-0.345850336996508	-1.85248774398383	1.69551732174655e-11	8.9877831846401e-10	5.80369900467693e-10	2440	"tags=27%, list=15%, signal=24%"
"GO:0140694"	"GO:0140694"	"membraneless organelle assembly"	404	-0.353703702744852	-1.86202639718195	1.85959085731829e-11	9.76871557569635e-10	6.30797202145806e-10	3672	"tags=39%, list=23%, signal=31%"
"GO:0006814"	"GO:0006814"	"sodium ion transport"	183	0.52338519594668	2.19403511410285	2.63986234320471e-11	1.37437833243095e-09	8.87480037748427e-10	2756	"tags=44%, list=17%, signal=37%"
"GO:0140029"	"GO:0140029"	"exocytic process"	100	0.607030393366612	2.31500383333007	2.98333427937226e-11	1.53003312863813e-09	9.87991317033023e-10	1578	"tags=39%, list=10%, signal=35%"
"GO:0044772"	"GO:0044772"	"mitotic cell cycle phase transition"	413	-0.351583406724254	-1.86172123289542	2.99131841304659e-11	1.53003312863813e-09	9.87991317033023e-10	3470	"tags=42%, list=22%, signal=34%"
"GO:0031644"	"GO:0031644"	"regulation of nervous system process"	132	0.575897605861957	2.30223260683789	3.02349287813299e-11	1.53304234542552e-09	9.8993446453837e-10	3036	"tags=51%, list=19%, signal=42%"
"GO:0007600"	"GO:0007600"	"sensory perception"	357	0.443256613721615	1.96652967997819	3.19139353301885e-11	1.60422549060629e-09	1.03589969760512e-09	3229	"tags=38%, list=20%, signal=31%"
"GO:0051932"	"GO:0051932"	"synaptic transmission, GABAergic"	73	0.667683342210044	2.41529088333069	3.41458667342374e-11	1.70174828143024e-09	1.09887328212656e-09	1488	"tags=45%, list=9%, signal=41%"
"GO:0048705"	"GO:0048705"	"skeletal system morphogenesis"	207	-0.43596512562238	-2.15172500907733	3.67445233504484e-11	1.81573996319038e-09	1.17248135615124e-09	2014	"tags=30%, list=13%, signal=27%"
"GO:2000463"	"GO:2000463"	"positive regulation of excitatory postsynaptic potential"	43	0.752486461562579	2.50891152104466	3.95695361620475e-11	1.93890727194033e-09	1.25201442593228e-09	3036	"tags=74%, list=19%, signal=61%"
"GO:1990806"	"GO:1990806"	"ligand-gated ion channel signaling pathway"	44	0.742811940609357	2.48195050439671	4.96967502373292e-11	2.41484792194889e-09	1.5593445227976e-09	2851	"tags=73%, list=18%, signal=60%"
"GO:0021954"	"GO:0021954"	"central nervous system neuron development"	109	0.595066373591296	2.31494031647519	5.56065910748977e-11	2.67968621948536e-09	1.73035908025149e-09	2066	"tags=41%, list=13%, signal=36%"
"GO:0045005"	"GO:0045005"	"DNA-templated DNA replication maintenance of fidelity"	62	-0.648493618502316	-2.60929034389047	7.2551921445794e-11	3.46762503238053e-09	2.23915636765837e-09	3551	"tags=66%, list=22%, signal=52%"
"GO:0140241"	"GO:0140241"	"translation at synapse"	49	-0.691809104693189	-2.6257798506071	8.90661364016019e-11	4.18826323675597e-09	2.70449550007241e-09	4242	"tags=86%, list=26%, signal=63%"
